๏ครั้นว่าไหว้ครูแล้วจับบท	ให้ปรากฏเรื่องราวมาแต่ก่อน
ขุนช้างย่างขึ้นบนนอกชาน	คุกคลานเข้าไปในเรือนใหญ่
นั่งบนเสื่อพลันในทันใด	ยกมือขึ้นไหว้ศรีประจัน
ท่านยายศรีประจันก็รับไหว้	แล้วบอกให้กินหมากขมีขมัน
กินหมากแล้วถามเนื้อความพลัน	แดดนายร้อนครันไปไหนมา
ขุนช้างกะอักกะไอมิใคร่บอก	อู้อี้ค่อยๆออกเนื้อความว่า
ลูกนี้ขัดสนพ้นปัญญา	แล้วก้มหน้านิ่งอยู่ไม่พาทีฯ
๏ครานั้นท่านยายศรีประจัน	เห็นขุนช้างขยั้นทำอู้อี้
จะใคร่ได้แจ้งแห่งคดี	เซ้าซี้ซํ้าถามเนื้อความไป
อนุสนธิ์ทำวนสิ่งใดมี	บอกแต่โดยดีอย่าสงสัย
เป็นคนกันเองอย่าเกรงใจ	ต้องการอะไรพ่อจึงมาฯ
๏ขุนช้างหมอบชิดจนติดหมอน	ว่าโปรดก่อนขอรับคุณแม่ขา
ลูกนี้ขัดสนพ้นปัญญา	จะปรึกษาใครได้ก็ไม่มี
แก่นแก้วตายแล้วเป็นหลายเดือน	เงินทองกองเกลื่อนไม่เป็นที่
มันลักฉกฉวยไปใช่พอดี	ตาเดียวเท่านี้ไม่ดูทัน
วันนี้ก็หายไปหลายชั่ง	แต่มิใช่เงินฝังเงินกำปั่น
หักกุญแจเข้าง้างเอากลางวัน	ผ้าผ่อนสารพันลักเนืองไป
ถ้ามีใครรับจะปกครอง	ทรัพย์สินเงินทองทั้งปวงได้
จะยกให้ไร่นาทั้งข้าไท	มอบเหย้าเรือนให้เป็นแม่เรือน
แม่หม้ายร้ายทานก็ไม่ว่า	แต่พอมีกิริยาไม่อายเพื่อน
ช่วยเก็บช่วยชักช่วยตักเตือน	แต่พอเหมือนแม่พิมพิลาไลยฯ
๏ครานั้นท่านยายศรีประจัน	ฟังขุนช้างรำพันไม่นิ่งได้
คิดโลภขึ้นมาว่าออกไป	มีเงินเหตุใดจะไร้ทอง
พอเลือกคัดจัดหาที่ดีดี	ถ้วนถี่รู้เก็บซึ่งข้าวของ
รู้การรอบคอบครอบครอง	ปกป้องข้าไททั้งไร่นา
เหมือนอย่างพ่อช้างอย่างนี้นี่	พอจะหาเมียดีได้สมหน้า
ไม่อายแขกไทยที่ไปมา	เจรจาอ่อนหวานการผู้ดี
เสมอทั้งสองราบรรดาศักดิ์	รู้ปักเย็บกรองให้ต้องที่
จะเลือกสรรในสุพรรณบุรี	เห็นไม่มีใครเสมอกับพ่อช้าง
ที่จริงออพิมพิลาไลย	พอจะเป็นผู้ใหญ่ก็ได้บ้าง
แต่พอเพียงสถานปานกลาง	ไม่เหมือนอย่างในศรีอยุธยาฯ
๏ขุนช้างฟังว่าบานหน้ายิ้ม	อันจะหาเหมือนแม่พิมนั้นเหลือหา
ลูกคิดเป็นนิจทุกเวลา	จะให้มาว่าเป็นไมตรี
ครั้นหารือกับแม่เทพทอง	จะรับคำปรองดองก็ใช่ที่
มิใช่อื่นไกลเห็นไม่ดี	ด้วยเล่นกันแต่ก่อนกี้เหมือนพี่น้อง
เมื่อปลงศพบิดาหารือกัน	จะให้เด็กผูกพันเป็นหอห้อง
กลัวแม่ข้างนี้มิปรองดอง	ข้างแม่เทพทองจึงไม่มา
แม้นแม่มิโกรธถือโทษภัย	จะหาท่านผู้ใหญ่ให้มาว่า
ยกทั้งวัวควายแลไร่นา	ทั้งเงินทองเสื้อผ้าสารพันฯ
๏ครานั้นนางพิมกับสายทอง	ฟังอยู่ในห้องให้ป่วนปั่น
แค้นด้วยมารดาว่ากับมัน	อ้ายหัวควั่นลวนลามหยามเต็มที
ทำเปิดหน้าต่างแล้วร้องไป	อ้ายผลไปไหนมึงมานี่
อ้ายหัวล้านอกขนคนอัปรีย์	งานการยังมีไม่นำพา
ตาผลหัวล้านร้องขานนาย	อะไรวุ่นวายหม่อมแม่ขา
ออกจากทับได้หัวใสมา	ยกขาก้าวขึ้นบนบันไดฯ
๏ขุนช้างได้ฟังนางพิมด่า	คิดอายบ่าวข้าไม่ช้าได้
ลายายศรีประจันงกงันไป	ย่างเท้าก้าวไวลงเรือนพลัน
ตาผลขึ้นมาคาบันได	หลีกขุนช้างไปอยู่ตัวสั่น
ขุนช้างเงยหน้าเหลอเก้อยิงฟัน	นานนานนะปะกันแต่สักครั้ง
ตาผลงันงกยกมือไหว้	บาปเพราะชนไก่แต่หนหลัง
ขุนช้างไขหูไม่อยู่ฟัง	เก้กังหน้าเง้าเหย่าเหย่าไปฯ
๏ครั้นสิ้นแสงสุริยงอัสดงคด	เลี้ยวลดลับเหลี่ยมขุนไศล
พระจันทร์เรืองอิทธิ์ฤทธิไกร	สถิตในทิพรถอันรูจี
ประดับด้วยแสนสุรางค์นางสวรรค์	ชักรถผยองผันเร็วรี่
พลาหกผกเผ่นด้วยฤทธี	เลี้ยวเหลี่ยมคิรียุคันธร
เปล่งแสงสว่างหล้าธาตรี	ดิเรกดาราศรีสลับสลอน
บันดาลวงทรงกลดขจายจร	งามบวรแสงจันทร์พรรณราย
พิมน้อยแสนละห้อยถึงพลายแก้ว	ล่วงหลายวันแล้วไม่เห็นหาย
ครวญเคร่าเช้าคํ่าไม่กลํ้ากราย	ปรึกษาสายทองพี่ผู้ปรีชา
เจ้าพลายแก้วไปแล้วหามาไม่	หลายวันหายไปไม่เห็นหน้า
น้องเสียใจครันที่สัญญา	ความเดิมที่ว่าเห็นกลับกลาย
จะโทษแต่พี่ก็มิได้	โทษใจของน้องนี้มักง่าย
ไปเชื่อคำที่เพราะเราะราย	ซ้ำหลงรูปเจ้าพลายจึงเสียรัก
ไม่รู้ที่จะทำอย่างไรได้	เจ็บใจวิตกเพียงอกหัก
แม้นซื่อตรงคงเรื่องไม่เยื้องยัก	คงเวียนมาให้ประจักษ์แก่น้ำใจ
ร้อนเย็นจะได้เป็นที่ปรึกษา	เมื่อไม่มานี่จะทำไฉนได้
จะรู้ที่ผินหน้าไปหาใคร	พี่เห็นฤๅไม่พี่สายทอง
อ้ายขุนช้างมันกล้ามาหาแม่	ไชแชขอเล่นแต่คล่องคล่อง
กิริยาแม่ว่าเป็นปรองดอง	ช่างโลภทรัพย์สิ่งของนี้สุดใจ
จะนิ่งดูอยู่ฉะนี้ฤๅพี่เอ๋ย	อย่านึกเลยน้องหาอยู่เป็นคนไม่
พี่สายทองจะคิดประการใด	บอกให้น้องแจ้งด้วยเถิดราฯ
๏ครานั้นจึงโฉมนางสายทอง	ปลอบน้องกอดแอบแนบหน้า
ช้อนคางพลางช่วยเช็ดน้ำตา	อย่าโศกายังไม่เกินกำหนดการ
เจ้าพลายหมายรักแม่พิมพี่	กว่าชีวีจะวายอวสาน
ใช่จะคิดลวงเล่นพอเป็นการ	ปฏิญาณสัญญาไว้มากมาย
จะเมื่อยเหน็บเจ็บจุกประจุบัน	ฤๅธุระสำคัญนั้นมากหลาย
ฤๅรู้ถึงสมภารท่านวุ่นวาย	จึงสูญหายเงียบไปไม่เข้ามา
จะอาวรณ์ร้อนใจไปไยมี	พรุ่งนี่พี่จะออกไปตามหา
ให้สิ้นแคลงแจ้งใจในกิจจา	จะปรึกษาร้ายดีอย่าด่วนตรอม
แม้นอยู่ดีไม่มีภารธุระ	พี่ปะแล้วจะพามาถนอม
จงเสื่อมสร่างกำสรดต้องอดออม	จะผ่ายผอมผิดร่างแบบบางไป
ผัดหน้าไว้ท่าเจ้าพลายแก้ว	คํ่าพรุ่งนี้แล้วจะหายไข้
ปลอบพลางโลมเล้าเอาใจ	กระพือพัดวีให้เจ้าพิมนอน
พิมหลับกลับลุกมาจากห้อง	สายทองเอนตัวลงกับหมอน
หลับสนิทนิทราให้อาวรณ์	พอแจ้งแสงทินกรขึ้นทันใดฯ
๏ครั้นสว่างกระจ่างแสงทินกร	สายทองตื่นนอนหาช้าไม่
บ้วนปากล้างหน้าแล้วคลาไคล	เข้าไปหาท่านศรีประจัน
นั่งลงเล่าไปมิได้ช้า	คืนนี้ท่านขาแม่พิมฝัน
ประหลาดนักหนักใจฉันครันครัน	เรื่องฝันเห็นร้ายไม่ไว้ใจ
ในฝันว่าไปนอนอยู่เรือนอื่น	กลางคืนนอนหลับแล้วไฟไหม้
ยุบลงถึงดินสิ้นสูญไป	เนื้อตัวถูกไฟออกพองพัง
ไม่รู้ว่าร้ายดีประการใด	แม่พิมเศร้าใจเจียนจะคลั่ง
จะไปวัดป่าเลไลยจะใคร่ฟัง	เล่าสิ้นเล่ายังกับสมภารฯ
๏ครานั้นท่านยายศรีประจัน	ได้ฟังเล่าความฝันส่งเสียงฉาน
รีบไปไวไวอย่าได้นาน	เล่าขานท่านให้แจงทั้งต้นปลาย
หมากพลูดูหาออพิมเอ๋ย	ทั้งขนมนมเนยเอาไปถวาย
ส้มสูกลูกไม้ให้มากมาย	จวนจะสายไปให้ทันท่านฉันข้าว
นางพิมยิ้มแต้แม่ไม่รู้	ปอกหมากพันพลูกระปรี้กระเปร่า
ขนมส้มใส่ลงไม่เบา	ข้าวแกงแตงเต้าเอาแต่ดี
สายทองจากห้องไปอาบน้ำ	ห่มผ้าแพรดำซับในสี
ลงจากเรือนพลันทันที	ข้าไทตามรี่รีบเร่งมาฯ
๏ครั้นถึงวัดพลันทันใด	ขึ้นบนกุฎีใหญ่ทั้งบ่าวข้า
กราบไหว้มิให้ใครสงกา	แล้วว่ากับทาสาพวกข้าไท
เอ็งพากันไปที่วิหาร	พิกุลบานหล่นอยู่เป็นไหนไหน
อีพวกข้าพากันไปทันใด	สายทองเป็นผู้ใหญ่อยู่บนนั้น
ข้าวแกงแต่งตั้งทั้งของหวาน	ถวายสมภารให้ท่านฉัน
หมากพลูบุหรี่ที่สำคัญ	แกล้งกลั่นซ่อนไว้ให้เณรพลาย
ส้มสูกลูกไม้เป็นของแห้ง	เณรแก้วจัดแจงเอาไปถวาย
สายทองคอยช่องดูแยบคาย	สงฆ์ทั้งหลายนั่งฉันจังหันไป
ฉันแล้วต่างลุกไปในห้อง	สายทองผู้มีอัชฌาสัย
เห็นลับคนดีไม่มีใคร	จึงเข้าในห้องเณรด้วยฉับพลัน
ยื่นให้หมากพลูทั้งบุหรี่	แล้วเล่าคดีขมีขมัน
พิมน้อยคอยท่ามาหลายวัน	โศกศัลย์หนักหนาด้วยปรารมภ์
คํ่าวันนี้สั่งให้เข้าไปหา	แต่คอยคอยฟังมาไม่เห็นสม
ดูเป็นล่อแต่พอได้เชยชม	จะทิ้งไว้ให้ตรมระกำตาย
พิมน้อยคิดแคลงแหนงใจอยู่	เท็จจริงมิได้รู้ซึ่งเงื่อนสาย
จึงใช้ให้มาหาพ่อเณรพลาย	มีทุกข์โศกโรคร้ายประการใด
เมื่อกลางวันวานนี้ไปอาบนํ้า	อ้ายขุนช้างระยำทำหยาบใหญ่
เดินแซงแข่งหน้าแม่พิมไป	นางขัดใจด่าว่าสารพัน
แล้วมันมาหาท่านมารดา	พูดจาลวนลามแต่ความขัน
เอื้อมขอต่อคุณแม่ศรีประจัน	เห็นจะเป็นการมันทุกสิ่งไป
เพราะเหตุทั้งนี้ที่มีมา	พิมจึงว่าสายทองไม่ทนได้
ว่าข้าสื่อชักทำหักใจ	ชักให้เสียตัวด้วยเณรพลาย
สารพัดพูดแต่ดีถี่ถ้วน	ดูกระบวนทีจะเลื่อมเสื่อมหาย
แกล้งทำให้ช้ำระกำตาย	สงสารสุดที่สายสวาดิวอน
ไหนจะสงสารตัวนี้ชั่วแล้ว	ไหนเณรแก้วจะคลายสโมสร
ไหนจะทุกข์ไปข้างหน้าอนาทร	ไหนข่าวชั่วจะขจรกระจายไป
ไหนอ้ายขุนช้างมาขอสู่	เป็นไม่รู้ที่จะทำกะไรได้
เพื่อนรักหมายจักได้ร่วมใจ	ก็ไม่ให้ปรึกษาเมื่อคราวจน
จึงให้ตามมาดูให้รู้เหตุ	ด้วยสังเกตผิดเรื่องแต่เบื้องต้น
ซึ่งว่าไว้จะมิให้ได้อายคน	จะคิดอ่านผ่อนปรนประการใด
จะสู้หน้าฤๅว่าเอาตัวรอด	อย่าอิดออดบอกความแต่ใกล้ใกล้
พ่อเณรพลายก็สบายเพราะอยู่ไกล	สายทองเจ็บใจด้วยชิดกัน
อุปมาเหมือนงาระคนถั่ว	ประดังไฟใส่คั่วกระเบื้องนั่น
งาร้อนฤๅจะผ่อนให้ถั่วทัน	พอถั่วสุกก็จะอันตรายงา
อยู่วัดเหมือนรำเล่นนอกม่าน	อยู่บ้านเขาก็ใส่เอาแต่ข้า
จะคิดอ่านฉันใดให้ว่ามา	สายแล้วจวนเวลาจะคลาไคลฯ
๏ครานั้นจึงโฉมเจ้าเณรพลาย	ยิ้มพรายผันแปรแก้ไข
สารพัดสัตย์จริงทุกสิ่งไป	ได้สัญญาว่าไว้กับพี่นาง
ว่าพิมนิ่มนวลกับสายทอง	เป็นสองสุดสวาดิไม่แหห่าง
สู้ตายหมายจิตรไม่จืดจาง	ซึ่งจะร้างแรมรักอย่ารำพึง
ช้าช้าว่ากันเถิดสายทอง	นั่นก็พี่นี่ก็น้องอย่าควรขึ้ง
สงบความอย่าให้ลามเลื่องฦๅอึง	ถ้ารู้ถึงหูคนจะแพร่งพราย
ทุกวันกระสันอยู่สุดจิตร	รำพึงคิดคิดอยู่ไม่รู้หาย
กีดด้วยสมภารท่านวุ่นวาย	ให้สาธยายรํ่าเรียนซึ่งวิชา
แต่กินข้าวเช้าแล้วจนดึกดื่น	เที่ยงคืนสามยามไปกว่ากว่า
วันน้องไปหาเจ้าพิมมา	ต้องตีด่าผูกมัดท่านตัดรอน
พี่สายทองต้องตีเพราะเณรน้อง	ได้รับรองแล้วจงรับธุระก่อน
จะแทนคุณมิให้อนาทร	ช่วยว่าวอนกับเจ้าพิมพิลาไลย
แต่พอว่างห่างตาท่านเจ้าคุณ	ลงวันใดก็จะผลุนไปจนได้
ความสัตย์สารพัดมาแต่ไร	อย่าได้แคลงคดจงจดจำ
ว่าพลางทางเป่าลมละลวย	พี่สายทองจงช่วยอุปถัมภ์
เปรี้ยวปากฤๅกินหมากเสียสักคำ	เสกซ้ำส่งไปให้ทันทีฯ
๏สายทองรับหมากใส่ปากเคี้ยว	กระสันเสียวสยองพองเกศี
ความรักเร็วแล่นแสนทวี	เมื่อกระนี้แล้วมาตกแก่สายทอง
อีคนจนสำหรับทนแต่ฝ่ายทุกข์	คราวสนุกแล้วก็เงียบอยู่ในห้อง
ตัวข้าอุปมาเหมือนใบตอง	ประคองห่อหุ้มขนมไว้
แก้สาดเสียสิ้นกินแต่ของ	อันใบตองหาทะยาทะแยไม่
เป็นคนจนก็ต้องทนระกำไป	มิให้สูญสิ้นทั้งสองราฯ
๏ทำคุณไว้เถิดสีกาพี่	ชั่วดีคงจะเห็นไปภายหน้า
มิทีหนึ่งก็ทีหนึ่งนะสีกา	จะออกปากชมว่าเจ้าเณรดี
ซึ่งข้อว่าคำก่อนจงผ่อนโกรธ	ขอโทษเสียเถิดสีกาพี่
เวทนาสีกาทุกราตรี	ไหนต้องตีขอเปิดผ้าห่มดู
สายทองอึดอัดทำขัดใจ	นี่อะไรเจ้าเณรเถนตู้
มาฉกชักผ้าห่มชมชู	นมจู้เจ้าเณรนี้ราคีฯ
๏ครานั้นเถรไทยไปถานมา	ได้ยินเสียงสีกาอยู่อู้อี้
แอบฝาตามองตามช่องมี	เห็นเย้ายีหยอกยุดผ้าห่มกัน
เอวกลมนมโตดูโอ่โถง	อีตายโหงมาประเคนให้เณรฉัน
ออแก้วสามานย์ก็หาญครัน	กลางวี่กลางวันไม่เกรงใคร
ซุกซนบนกะฏิริถาน	กูจะบอกสมภารให้มาไล่
มองดูอยู่นานฟุ้งซ่านใจ	เถรไทยกลัดกลุ้มเดินดุ่มมา
ครั้นถึงร้องตะโกนมาแต่ไกล	เณรแก้วสีไฟพุทธิเจ้าข้า
เห็นพูดเซ้าซี้กับสีกา	ฉวยผ้าห่มยุดฉุดชิงกันฯ
๏สมภารได้ฟังเถรไทยว่า	ขบเหงือกเหลือกตาโกรธตัวสั่น
ลุกฉวยไม้เท้าก้าวงกงัน	ถลันรีบมาเปิดประตูโกรง
เณรแก้วสายทองทั้งสองคน	จวนจนเข้าไปแอบอยู่ข้างโอ่ง
แกหวดด้วยไม้เท้าวิ่งตะโพง	อ้ายตายโหงอีตายห่าด่าเกนเกน
สายทองลอดล่องมาลับตัว	ท่านขรัวร้องเบื่อมันเหลือเถน
ปรนปรือทุกอย่างจนกลางเพล	ฝ่ายเจ้าเณรวิ่งวนซุกซนไป
กระโดดลงหน้าต่างวางวิ่งโทง	ผ้าผ่อนล่อนโล่งไม่ติดได้
สมภารค้นกุฎีไม่มีใคร	ยังขัดใจบ่นบ้าด่าอึงมา
ทุดอ้ายเณรหน้าหมาสีกาผี	โสโครกกุฎีกูหนักหนา
นั่งลงตำหมากทิ้งสากคา	ตำพลางด่าว่าจนสาใจฯ
๏สายทองลอดล่องหนีสมภาร	ลนลานออกนอกกุฎีได้
เหลียวหาเณรพลายก็หายไป	ไม่มีใครจะรู้ว่าร้ายดี
ถึงกลางวัดหยุดยืนจัดแจงตัว	ด้วยความกลัวท่านสมภารจะรีบหนี
จึงร้องเรียกข้าไทไปทันที	อีมีเร็วนะกูจะไป
อีพวกข้าได้ยินนายร้องเรียก	จึงสำเหนียกถนัดไม่ช้าได้
เก็บพิกุลห่อผ้ามาทันใด	บัดเดี๋ยวใจก็พร้อมกันฉับพลันฯ
๏สายทองส่งกระทายให้บ่าวข้า	อีมีรับมาขมีขมัน
รีบกลับไม่นานถึงบ้านพลัน	ขึ้นเรือนศรีประจันแล้วยิ้มพราย
ศรีประจันครั้นเห็นสายทองมา	เอ็งไปวัดกะไรช้ามาจนสาย
ไปไหนหน่อยแหละแฉะจะตาย	ท่านขรัวทายร้ายดีประการใด
สายทองตอบคำของมารดา	ช้าอยู่ด้วยท่านฉันจังหันได้
ต้องคอยท่านยถาเป็นเท่าไร	ท่านไปถานเป็นนานจึงกลับมา
ท่านได้ทักทายข้อร้ายดี	ว่าเคราะห์แม่พิมนี้เป็นหนักหนา
ระวังตัวกลัวภัยในสามเวลา	พ้นนั้นท่านว่าสวัสดี
ว่าแล้วลุกลามาในห้อง	แนบน้องพลางกระซิบว่าพิมพี่
เณรพลายสู้ตายด้วยพาที	ให้สัญญาถ้วนถี่ที่จริงจัง
ถึงอย่างไรคงจะสึกซมมาหา	ดาบจะล่อคอฆ่าไม่ถอยหลัง
ไม่ช้าคงจะมาเหมือนสัจจัง	แม่จงฟังคำพี่อย่าเสียใจฯ
๏ครานั้นจึงโฉมเจ้าเณรแก้ว	หนีสมภารไปแล้วไม่กลับได้
ยิ่งคิดเวียนวนให้จนใจ	อยู่วัดป่าเลไลยก็ช้านาน
วิชาไม่ชำนาญเชี่ยวชาญแน่	ยังวัดแคนั้นว่าเยี่ยมเหี้ยมหาญ
แม่ทองประศรีบอกมาก็ช้านาน	ว่าสมภารชื่อคงเป็นคนดี
อยู่สุพรรณแล้วให้ด้นไปค้นหา	เพื่อนสนิทบิดาที่เป็นผี
ไปเรียนต่อพอจะได้ความรู้ดี	แต่เป็นห่วงพิมพี่นี้สุดใจ
จะว่าเราหลบลี้หนีสัจจา	จะสึกไปก็วิชาหาชะงัดไม่
ถึงรักสัตย์ต้องตัดความอาลัย	คิดแล้วห่มสไบรีบเดินมา
ออกทุ่งมุ่งทางต้นไม้เสียด	ถึงเพนียดเที่ยวด้นค้นถามหา
เขาชี้บอกเห็นวัดถนัดตา	หมายศาลารีบตะบึงถึงวัดพลัน
พอเถรอ้นกวาดวัดอยู่คนเดียว	เห็นเณรแก้วแกเหลียวขมีขมัน
ถามเถรเอ็นดูอย่าพรางกัน	ท่านสมภารคงนั้นอยู่แห่งไร
เถรอ้นฟังคดีที่เณรถาม	ไม่พรางความบอกที่แล้วชี้ให้
สามหลังกุฎีมีหอไตร	เณรแก้วดีใจรีบไคลคลา
พอขรัวคงลุกออกมานอกชาน	เณรแก้วกราบกรานเข้าไปหา
ท่านสมภารถามไปมิได้ช้า	เอ็งไปไหนมาออเณรนี้
เณรแก้วตอบคำท่านขรัวไป	ฉันคือบุตรขุนไกรที่เป็นผี
ชื่อว่าพลายแก้วผู้ภักดี	ท่านทองประศรีเป็นมารดา
บอกไว้ให้มาหาพระอาจารย์	เณรหลานนี้จึงด้นค้นมาหา
เข้าสุพรรณดั้นถามเนื้อความมา	จะขอเรียนวิชาสืบต่อไปฯ
๏ครานั้นท่านสมภารได้ฟังว่า	อออือจริงหวาหาลืมไม่
กูชอบชิดเป็นมิตรกับขุนไกร	ยังแค้นใจที่มันม้วยไม่ต่อมือ
โดยจะสิ้นความคิดวิทยา	จะซานมาหากูไม่ได้ฤๅ
ถ้าใครกล้าตามมาไม่มีครือ	จะฟันเสียให้ฦๅเป็นแทงลาว
ถึงยกทัพนับหมื่นเต็มพื้นภพ	จะผูกผ้าพยนต์รบรับให้ฉาว
ไม่ทันล่วงราตรีให้หนีกราว	กลัวจะยกธงขาวไม่ชิงชัย
กูคิดคิดเสียใจเป็นหนักหนา	ดังเสียลูกตาขวาก็ว่าได้
รำพึงถึงมันทุกวันไป	กูหมายใจฝากผีมันทีเดียว
แล้วเหลียวหน้ามาพิศดูพลายน้อย	กะจ้อยร่อยดูไม่น่าจะอดเหนียว
กาญจน์บุรีกับสุพรรณไกลกันเจียว	อุตส่าห์เที่ยวด้นป่ามาหากู
ทองประศรีอยู่ดีฤๅไฉน	ต่างคนต่างไกลถิ่นฐานอยู่
เจ็บไข้สิ่งใดก็ไม่รู้	อยู่กับกูเถิดจะบอกซึ่งวิชา
กูเห็นแก่ขุนไกรที่ตายแล้ว	อ้ายเณรแก้วนี่ก็เหมือนมันหนักหนา
อย่าอาวรณ์กูจะสอนสิ้นตำรา	มิให้ฆ่าเหมือนพ่อของมึงนี้ฯ
๏เณรแก้วบอกท่านสมภารไป	พ่อมิใช่สิ้นฤทธิ์คิดถอยหนี
หากรับสัตย์พระพิพัฒน์วารี	ไม่ราคีคิดคดขบถใจ
สู้ยอมตายไว้ชื่อเชื้อทหาร	มิให้พาลผิดเสียความสัตย์ได้
อาคมจึงเสื่อมทุกสิ่งไป	ท่านไม่เลี้ยงแล้วก็ตามบุญ
ถ้าบิดาข้าคดต่อแผ่นดิน	ละสัตย์เสียสิ้นก็จะวุ่น
เพราะฉะนั้นเขาจึงฟันเล่นเป็นจุณ	พระคุณอย่าละเหี่ยเสียนํ้าใจ
อันซึ่งท่านแม่ทองประศรี	ปีนี้ชราลงไหนไหน
แต่ไม่หลงกำลังยังว่องไว	ไม่เจ็บไข้เป็นสุขสำราญดีฯ
๏สมภารได้ฟังเณรแก้วว่า	อ่อชราลงครันฤๅทองประศรี
ไม่เห็นหน้ามาประมาณสักสิบปี	เอ็งอยู่นี่กูจะสอนการณรงค์
ความสัตย์ต้องรักษาอย่าให้พลาด	เพราะประมาทพ่อมึงจึงเป็นผง
เอ็งเหน็ดเหนื่อยเมื่อยล้าเดินป่าดง	จงไปอยู่กุฏิข้างหอกลางไปฯ
๏เณรแก้วรับคำแล้วอำลา	บ่ายหน้าเข้าห้องหาช้าไม่
พร้อมทั้งเตียงหมอนที่นอนใน	ยิ่งเศร้าใจถึงพิมผู้นิ่มนวล
ยิ่งเย็นยิ่งกระสันประหวั่นถึง	นอนคะนึงอยู่ในห้องไม่หายหวน
พอสิ้นแสงสุริยาเวลาจวน	อุตส่าห์ด่วนหมอบมองเข้าห้องใน
โบกปัดพัดวีพระอาจารย์	ให้สำราญรื่นจิตรพิสมัย
ปฏิบัติมิให้ขัดข้องเคืองใจ	สมภารแนะนำให้ไม่ช้าการ
สะกดทัพจับพลทั้งปลุกผี	ผูกพยนต์ฤทธีกำแหงหาญ
ปัถมังกำบังตนทนทาน	สะเดาะดาลโซ่กุญแจประจักษ์ใจ
ทั้งพิชัยสงครามล้วนความรู้	อาจจะปราบศัตรูไม่สู้ได้
ฤกษ์พานาทีทุกสิ่งไป	ทั้งเสกใบมะขามเป็นต่อแตน
ชำนาญทั้งกลศึกลึกลับ	คุมพลแม่ทัพนับตั้งแสน
สู้ศึกได้สิ้นทั้งดินแดน	มหาละลวยสุดแสนเสน่ห์ดี
จังงังขลังคะนองล่องหน	ฤทธิรณแรงราวกับราชสีห์
ถอนอาถรรพ์กันประกอบประกับมี	เลี้ยงผีพรายกระซิบทุกสิ่งไป
วิชาสารพัดจะเรียนพร้อม	ซักซ้อมท่องเล่าทั้งเก่าใหม่
แต่คะนึงถึงพิมมิได้ไป	เพราะอาลัยหลงรักเรียนวิชาฯ
๏จะกล่าวถึงโฉมเจ้าขุนช้าง	คะนึงนางพิมน้อยละห้อยหา
แต่เช้าค่ำครํ่าครวญทุกเวลา	ตั้งแต่มาจากบ้านศรีประจัน
ไม่เป็นกินเป็นนอนแต่ร้อนรัก	อกจะหักใจรัญจวนป่วนปั่น
มิได้มีความสบายมาหลายวัน	แทบจะกลั้นใจตายไม่วายคิด
อยู่ในห้องร้องไห้พิไรรํ่า	ทุกคํ่าเช้าเฝ้านอนแต่ถอนจิตร
ทำไฉนจะได้แอบแนบชิด	กับเจ้าพิมนิ่มสนิทของพี่อา
วันเมื่อน้องอาบน้ำกับบ่าวไพร่	พี่ไปแอบมองที่ตีนท่า
ช่างกะไรไม่เห็นพี่เล่นตา	เมินหน้าเสียทีเดียวไม่เหลียวแล
ขึ้นจากนํ้าพี่ซ้ำตามไปบ้าน	ก็ได้การขึ้นไปว่าหาหม่อมแม่
พูดกับศรีประจันไม่ผันแปร	นึกแน่อยู่ว่าเห็นจะเป็นการ
พรุ่งนี้จะไปผลอขอทีเดียว	ลดเลี้ยวตามปัญญาว่าขาน
ทั้งเงินทองของข้าวเอาเจือจาน	ถึงรูปชั่วหัวล้านคงเมตตา
แต่ครํ่าครวญป่วนจิตรคิดจนรุ่ง	พระสุริยาพวยพุ่งเวหา
ส่องแสงแจ้งกระจ่างสว่างตา	ก็ล้างหน้าจัดแจงแต่งตัว
ยกคันฉ่องมาส่องดูกระจก	ในจิตรคิดวิตกแต่ที่หัว
เอาเขม่าเข้ามอมอยู่มัวซัว	แป้งชโลมโซมตัวทั่วทั้งกาย
ครั้นแล้วลุกออกมานอกห้อง	นุ่งยกห่มกรองทองเฉิดฉาย
เรียกบ่าวเล็กเล็กเด็กผู้ชาย	มากมายตามหลังสะพรั่งมาฯ
๏ครั้นถึงเรือนศรีประจันเข้าทันใด	ดีใจก้าวขึ้นบนเคหา
ศรีประจันครั้นเห็นขุนช้างมา	ก็ต้อนรับเรียกหาเข้ามาพลัน
แล้วปราศรัยไต่ถามฉันเพื่อนบ้าน	เสือกพานหมากเชิญกินหมากนั่น
ธุระอะไรว่าไปอย่าเกรงกัน	แม่นั้นอยู่ดีดอกฤๅนาฯ
๏ขุนช้างตอบไปเห็นได้ที	ว่าลูกนี้จะขอมาเป็นข้า
ให้แม่ใช้ต่างเกือกต่างกะลา	คิดคิดจะใคร่ว่าก็เกรงกลัว
ด้วยรักพิมนิ่มน้องนี้จริงจัง	จงปลูกฝังเสียเถิดแม่ทูนหัว
ถ้าได้ครองจะเอาทองมาทาบตัว	ลูกไม่กลัวเงินทองลูกถมไป
ยามเดินจะให้เดินแต่ในห้อง	แต่แสงเดือนมิให้ส่องต้องตัวได้
จะกลัวจนกลัวยากไปทำไม	แม่ข้าไหว้เลี้ยงลูกไว้ดูทีฯ
๏ครานั้นท่านยายศรีประจัน	ฟังขุนช้างรำพันเป็นถ้วนถี่
นึกยิ้มกริ่มใจให้ยินดี	ได้ลูกเขยเศรษฐีก็ดีใจ
